,Title,Organization,Skills,Ratings,Review counts,Metadata
0,Google Cybersecurity,Google," Threat Modeling, Network Security, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Cyber Threat Intelligence, Threat Management, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Vulnerability Assessments, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",0,0,Beginner · Professional Certificate · 3 - 6 Months
1,Google UX Design,Google," Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Cross Platform Development, Data Ethics, Usability, Interviewing Skills, Applicant Tracking Systems",0,0,Beginner · Professional Certificate · 3 - 6 Months
2,IBM AI Developer,IBM," Prompt Engineering, Software Development Life Cycle, Software Architecture, Large Language Modeling, Responsive Web Design, ChatGPT, Flask (Web Framework), Generative AI, Cascading Style Sheets (CSS), Unit Testing, Software Design, Jupyter, Web Design and Development, Software Development Methodologies, Software Design Patterns, Web Development, Python Programming, Engineering Software, Machine Learning, Data Science",0,0,Beginner · Professional Certificate · 3 - 6 Months
3,IBM DevOps and Software Engineering,IBM," User Story, CI/CD, Istio, Software Development Life Cycle, Open Web Application Security Project (OWASP), Continuous Integration, Linux Commands, Software Architecture, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, DevOps, Git (Version Control System), Flask (Web Framework), Jupyter, Grafana, Software Engineering, Application Development",0,0,Beginner · Professional Certificate · 3 - 6 Months
4,IBM Back-End Development,IBM," Istio, Software Development Life Cycle, Open Web Application Security Project (OWASP), Linux Commands, Software Architecture, Application Deployment, NoSQL, Kubernetes, Bash (Scripting Language), MongoDB, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Flask (Web Framework), Jupyter, Grafana, Microservices, Python Programming",0,0,Beginner · Professional Certificate · 3 - 6 Months
5,Applied Software Engineering Fundamentals,IBM," Software Development Life Cycle, Linux Commands, Software Architecture, Bash (Scripting Language), Shell Script, Git (Version Control System), GitHub, Flask (Web Framework), Unit Testing, Software Design, Version Control, File Management, Jupyter, Unix Shell, Web Design and Development, Linux, Software Development Methodologies, Application Deployment, Python Programming, Data Structures",0,0,Beginner · Specialization · 3 - 6 Months
6,Python for Everybody,University of Michigan," Web Scraping, Data Processing, Relational Databases, Data Visualization, JSON, Database Design, SQL, Network Protocols, Web Services, Restful API, Data Modeling, Programming Principles, Application Programming Interface (API), Database Systems, Database Management, Extensible Markup Language (XML), Data Structures, Data Collection, Computer Programming, Python Programming",0,0,Beginner · Specialization · 3 - 6 Months
7,Retrieval Augmented Generation (RAG),DeepLearning.AI," Large Language Modeling, Prompt Engineering, Generative AI, System Monitoring, Application Security, Natural Language Processing, Semantic Web, Artificial Intelligence, Query Languages, Database Systems, Information Management, Algorithms",0,0,Intermediate · Course · 1 - 3 Months
8,Meta Full-Stack Developer,Meta," Jest (JavaScript Testing Framework), Django (Web Framework), Version Control, Restful API, Responsive Web Design, Unix Commands, HTML and CSS, Git (Version Control System), GitHub, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), React.js, Mobile Development, SQL, Database Design, API Design, Linux Commands, Python Programming",0,0,Beginner · Specialization · 3 - 6 Months
9,Generative AI for Mobile App Developers,IBM," Prompt Engineering, ChatGPT, Generative AI, Large Language Modeling, AI Personalization, Mobile Development, Data Ethics, OpenAI, Artificial Intelligence, Software Development Tools, Software Testing, Apple iOS, Test Automation, Software Development, Machine Learning Methods, DevSecOps, Application Development, Application Security, CI/CD, IBM Cloud",0,0,Advanced · Specialization · 1 - 3 Months
10,Generative AI for Java and Spring Developers,IBM," Prompt Engineering, ChatGPT, Generative AI, Large Language Modeling, Restful API, Data Ethics, OpenAI, Application Deployment, Artificial Intelligence, Software Development Tools, Software Testing, Test Automation, Software Development, DevSecOps, Application Security, CI/CD, Application Programming Interface (API), Natural Language Processing, Java Programming, IBM Cloud",0,0,Intermediate · Specialization · 1 - 3 Months
11,Generative AI for Software Developers,IBM," Prompt Engineering, ChatGPT, Generative AI, Large Language Modeling, Data Ethics, OpenAI, Artificial Intelligence, Software Development Tools, Software Testing, Test Automation, Software Development, DevSecOps, Application Security, CI/CD, Natural Language Processing, Code Review, Software Engineering, Program Development, Software Architecture, IBM Cloud",0,0,Intermediate · Specialization · 1 - 3 Months
12,Meta Front-End Developer,Meta," Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript, Cascading Style Sheets (CSS)",0,0,Beginner · Professional Certificate · 3 - 6 Months
13,IBM Full-Stack JavaScript Developer,IBM," Istio, Software Development Life Cycle, Node.JS, Software Architecture, Server Side, MongoDB, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, NoSQL, Kubernetes, Responsive Web Design, Restful API, OpenShift, Git (Version Control System), Ajax, Javascript, Azure DevOps, Engineering Software",0,0,Beginner · Professional Certificate · 3 - 6 Months
14,Foundations of Cybersecurity,Google," Cybersecurity, Security Controls, Cyber Attacks, Security Management, Cyber Security Strategy, Incident Response, Cyber Risk, Security Information and Event Management (SIEM), Information Assurance, Data Ethics, Network Analysis, Ethical Standards And Conduct",0,0,Beginner · Course · 1 - 4 Weeks
15,IBM iOS and Android Mobile App Developer,IBM," React Native, Prompt Engineering, Software Development Life Cycle, Flutter (Software), Swift Programming, Software Architecture, Apple Xcode, Mobile Development, Android Studio, User Centered Design, Android Development, Apple iOS, React Redux, Responsive Web Design, Git (Version Control System), GitHub, React.js, Android (Operating System), Cascading Style Sheets (CSS), AI Personalization",0,0,Beginner · Professional Certificate · 3 - 6 Months
16,IBM Back-end JavaScript Developer,IBM," Istio, Software Development Life Cycle, Node.JS, Containerization, Software Architecture, Server Side, MongoDB, Application Deployment, Cloud-Native Computing, NoSQL, Kubernetes, Responsive Web Design, Restful API, OpenShift, Git (Version Control System), Cloud Applications, Ajax, Javascript, Azure DevOps, Engineering Software",0,0,Beginner · Professional Certificate · 3 - 6 Months
17,IBM Java Developer,IBM," Prompt Engineering, Software Development Life Cycle, Cloud-Native Computing, Software Architecture, Hibernate (Java), Database Design, Responsive Web Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Microservices, Cascading Style Sheets (CSS), Object Oriented Programming (OOP), Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design",0,0,Beginner · Professional Certificate · 3 - 6 Months
18,IBM Front-End Developer,IBM," Bootstrap (Front-End Framework), Software Development Life Cycle, Software Architecture, User Centered Design, Cloud-Native Computing, React Redux, Responsive Web Design, NoSQL, Git (Version Control System), GitHub, Webpack, Application Development, MongoDB, React.js, Agile Methodology, Cascading Style Sheets (CSS), Front-End Web Development, Browser Compatibility, HTML and CSS, Engineering Software",0,0,Beginner · Professional Certificate · 3 - 6 Months
19,Generative AI with Large Language Models,DeepLearning.AI," Generative AI, Large Language Modeling, OpenAI, ChatGPT, Prompt Engineering, PyTorch (Machine Learning Library), Artificial Intelligence and Machine Learning (AI/ML), Deep Learning, Tensorflow, Python Programming, Applied Machine Learning, Scalability, Natural Language Processing, Machine Learning, Application Deployment, Reinforcement Learning, Performance Tuning, Performance Metric",0,0,Intermediate · Course · 1 - 4 Weeks
20,Mathematics for Machine Learning and Data Science,DeepLearning.AI," Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Linear Algebra, Statistical Inference, A/B Testing, Statistical Analysis, Applied Mathematics, NumPy, Probability, Calculus, Dimensionality Reduction, Numerical Analysis, Mathematical Modeling, Machine Learning, Machine Learning Methods, Jupyter",0,0,Intermediate · Specialization · 1 - 3 Months
21,Generative AI Software Engineering,Vanderbilt University," Prompt Engineering, ChatGPT, Generative AI Agents, Generative AI, Productivity, AI Personalization, Version Control, Agentic systems, Artificial Intelligence, Personalized Service, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML), Git (Version Control System), Software Engineering, Software Development Tools, Software Development, Software Architecture, Automation, Software Testing, Software Design",0,0,Beginner · Specialization · 3 - 6 Months
22,Meta Web Development Fundamentals,Meta," Django (Web Framework), Responsive Web Design, HTML and CSS, Back-End Web Development, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), SQL, Database Design, Databases, Front-End Web Development, Database Administration, Unit Testing, MySQL, Debugging, Web Development, Computer Programming, Pseudocode, Communication",0,0,Beginner · Specialization · 3 - 6 Months
23,Meta React Native,Meta," React Native, Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Unix Commands, Restful API, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, User Experience Design, SQL, User Interface and User Experience (UI/UX) Design, User Interface (UI), User Experience, Mobile Development, React.js, Web Development Tools, Javascript",0,0,Beginner · Specialization · 3 - 6 Months
24,Play It Safe: Manage Security Risks,Google," Threat Management, Cybersecurity, Risk Management Framework, Risk Management, Business Risk Management, Incident Response, Vulnerability Management, Security Information and Event Management (SIEM), Security Controls, Continuous Monitoring, Information Systems Security, Enterprise Security, Risk Analysis, Threat Detection, Information Assurance, Open Web Application Security Project (OWASP), Auditing",0,0,Beginner · Course · 1 - 4 Weeks
25,Microsoft AI Product Manager,Microsoft," Competitive Analysis, Market Research, User Story, Product Roadmaps, Competitive Intelligence, Usability, Persona Development, Product Development, Market Analysis, New Product Development, Product Management, Design Thinking, User Interface (UI) Design, Market Opportunities, Business Research, Product Lifecycle Management, Quality Assurance and Control, Product Quality (QA/QC), Product Strategy, Data Analysis",0,0,Beginner · Professional Certificate · 3 - 6 Months
26,Foundations of User Experience (UX) Design,Google," User Research, User Experience Design, Design Thinking, User Centered Design, Usability, Persona (User Experience), Usability Testing, Web Content Accessibility Guidelines, Wireframing, Prototyping, Sprint Retrospectives, Sprint Planning",0,0,Beginner · Course · 1 - 4 Weeks
27,IBM RAG and Agentic AI,IBM," Prompt Engineering, Generative AI, Generative AI Agents, Agentic systems, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Software Design, Data Governance, User Interface (UI), Application Development, Large Language Modeling, Semantic Web, Database Systems, Data Storage Technologies, Databases, NoSQL, Full-Stack Web Development, AI Personalization, Application Frameworks, Software Development",0,0,Advanced · Professional Certificate · 3 - 6 Months
28,Generative AI for Software Development,DeepLearning.AI," Prompt Engineering, Large Language Modeling, Database Design, Software Documentation, Software Design Patterns, Database Systems, Collaborative Software, Software Testing, ChatGPT, Technical Documentation, Generative AI, Code Review, Software Architecture, API Design, System Design and Implementation, Dependency Analysis, Artificial Intelligence, Software Engineering, Software Development, Machine Learning",0,0,Beginner · Professional Certificate · 1 - 3 Months
29,Meta Back-End Developer,Meta," Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting",0,0,Beginner · Professional Certificate · 3 - 6 Months
