id_no,title,organization,skills,ratings,review_counts,metadata
1,Google Cybersecurity,Google,"bash scripting language,cloud security,computer security incident management,cyber attack,cyber threat intelligence,cybersecurity,debugging,hardening,incident response,interviewing skill,intrusion detection prevention,linux,network protocol,network security,python,sql,threat management,threat modeling,vulnerability assessment,vulnerability management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
2,Foundations of Cybersecurity,Google,"cyber attack,cyber risk,cyber security strategy,cybersecurity,data ethic,ethical standard conduct,incident response,information assurance,network analysis,security control,security information event management siem,security management",0,0,Beginner ? Course ? 1 - 4 Weeks
3,Cybersecurity for Everyone,"University of Maryland, College Park","computer security awareness training,cyber attack,cyber governance,cyber risk,cyber security policy,cyber security strategy,cybersecurity,data security,enterprise security,general networking,governance,infrastructure security,political science,public safety national security,risk management,security awareness,security management,telecommunication,threat detection,vulnerability",0,0,Beginner ? Course ? 1 - 3 Months
4,IBM Cybersecurity Analyst,IBM,"cloud computing,computer security incident management,cyber security assessment,cyber threat hunting,cyber threat intelligence,cybersecurity,database management,endpoint security,identity access management,incident response,information technology infrastructure library,interviewing skill,intrusion detection prevention,linux,malware protection,network security,networking hardware,penetration testing,service management,tcpip",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
5,Introduction to Cybersecurity Fundamentals,Coursera Instructor Network,"computer security awareness training,cyber attack,cybersecurity,data security,email security,malware protection,mitigation,personally identifiable information,security awareness,threat management",0,0,Beginner ? Course ? 1 - 4 Weeks
6,Introduction to Cybersecurity Essentials,IBM,"application security,computer security awareness training,cryptography,cyber attack,cybersecurity,data security,encryption,hardening,information privacy,information system security,malware protection,multifactor authentication,network security,personally identifiable information,security awareness,security control,threat management",0,0,Beginner ? Course ? 1 - 4 Weeks
7,Microsoft Cybersecurity Analyst,Microsoft,"active directory,authentication,azure active directory,business software,cloud computing,cloud security,computer security incident management,computer system,cybersecurity,data management,encryption,mitre attck framework,network security,penetration testing,security information event management siem,security testing,system testing,threat management,threat modeling,vulnerability scanning",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
8,Certified in Cybersecurity,ISC2,"authorization computing,business continuity,computer security awareness training,computer security incident management,configuration management,cyber attack,cybersecurity,data security,disaster recovery,encryption,event monitoring,governance,incident response,information assurance,infrastructure security,network security,risk management framework,rolebased access control rbac,security control,security management",0,0,Beginner ? Specialization ? 3 - 6 Months
9,Introduction to Cybersecurity Tools & Cyberattacks,IBM,"authentication,authorization computing,computer security incident management,cyber attack,cybersecurity,distributed denialofservice ddos attack,identity access management,incident response,infrastructure security,malware protection,multifactor authentication,network security,security awareness,security control,threat detection,threat management",0,0,Beginner ? Course ? 1 - 3 Months
10,Cybersecurity Operations Fundamentals,Cisco Learning and Certifications,"computer security incident management,cryptography,cyber threat hunting,cyber threat intelligence,cybersecurity,data security,distributed denialofservice ddos attack,encryption,endpoint security,file system,incident management,incident response,key management,linux,malware protection,mitre attck framework,network security,threat detection,threat modeling,vulnerability assessment",0,0,Beginner ? Specialization ? 3 - 6 Months
11,Automate Cybersecurity Tasks with Python,Google,"algorithm,automation,computer programming,cyber security assessment,cybersecurity,data structure,debugging,file management,integrated development environment,programming principle,python,scripting",0,0,Beginner ? Course ? 1 - 4 Weeks
12,Google Cloud Cybersecurity,Google Cloud,"cloud security,cloud storage,computer security incident management,continuous monitoring,cyber threat hunting,cybersecurity,data security,devsecops,disaster recovery,event monitoring,generative ai,google cloud platform,identity access management,incident management,incident response,intrusion detection prevention,large language modeling,risk management framework,threat management,vulnerability management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
13,Python for Cybersecurity,Infosec,"authorization computing,commandline interface,computer programming,continuous monitoring,cyber operation,cyber security strategy,cyber threat hunting,cyber threat intelligence,cybersecurity,data access,incident response,mitre attck framework,network monitoring,network security,persistence,python,scripting,system monitoring,threat detection,threat modeling",0,0,Intermediate ? Specialization ? 3 - 6 Months
14,Data & Cybersecurity,Campus BBVA,"anomaly detection,authentication,computer security incident management,crisis management,cyber attack,cyber threat intelligence,cybersecurity,data processing,data science,data security,email security,incident response,malware protection,safety security,security awareness,security information event management siem,security management,time series analysis forecasting",0,0,Intermediate ? Course ? 1 - 3 Months
15,IT Fundamentals for Cybersecurity,IBM,"cloud computing,cloud security,computer security incident management,cyber attack,cyber risk,cybersecurity,data ethic,identity access management,incident response,information technology infrastructure library,linux,linux server,malware protection,network protocol,network security,networking hardware,operating system,service management,tcpip,window server",0,0,Beginner ? Specialization ? 3 - 6 Months
16,AI for Cybersecurity,Johns Hopkins University,"anomaly detection,artificial intelligence machine learning aiml,authentication,continuous monitoring,cyber attack,cyber threat intelligence,cybersecurity,deep learning,email security,feature engineering,generative ai,intrusion detection prevention,jupyter,machine learning software,malware protection,network analysis,network security,system design implementation,threat detection,threat modeling",0,0,Intermediate ? Specialization ? 3 - 6 Months
17,Cybersecurity Fundamentals,IBM,"advanced encryption standard aes,computer security incident management,cryptographic protocol,cryptography,cyber attack,cyber security strategy,cybersecurity,data encryption standard,data security,encryption,endpoint security,hardening,identity access management,information technology,network security,public key infrastructure,secure coding,security awareness,technical support service,threat detection",0,0,Beginner ? Specialization ? 3 - 6 Months
18,Cybersecurity Assessment: CompTIA Security+ & CYSA+,IBM,"cyber attack,cyber security assessment,cybersecurity,incident response,network architecture,security testing,vulnerability management",0,0,Intermediate ? Course ? 1 - 4 Weeks
19,IBM and ISC2 Cybersecurity Specialist,Multiple educators,"application security,business continuity,cloud computing architecture,cloud security,cloud service,computer security incident management,computing platform,configuration management,cryptography,cybersecurity,disaster recovery,governance,incident response,information technology,network protocol,network security,penetration testing,peripheral device,sdlc,security control",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
20,Cybersecurity Attack and Defense Fundamentals,EC-Council,"authorization computing,cloud security,computer security awareness training,cryptography,cyber threat intelligence,cybersecurity,data security,encryption,identity access management,intrusion detection prevention,malware protection,mobile security,network security,penetration testing,public key infrastructure,security awareness,security control,threat detection,vulnerability assessment,wireless network",0,0,Beginner ? Specialization ? 3 - 6 Months
21,Fortinet Network Security,"Fortinet, Inc.","application security,authentication,computer security,cyber security strategy,cybersecurity,enterprise security,firewall,intrusion detection prevention,network administration,network architecture,network infrastructure,network monitoring,network performance management,network routing,network security,network troubleshooting,security engineering,security information event management siem,security management,virtual private network vpn",0,0,Intermediate ? Specialization ? 3 - 6 Months
22,Palo Alto Networks Cybersecurity,Palo Alto Networks,"application security,cloud computing,cloud computing architecture,cloud security,cloudnative computing,cryptography,cyber threat intelligence,cybersecurity,devsecops,encryption,endpoint security,firewall,general networking,infrastructure security,malware protection,network infrastructure,network security,security information event management siem,tcpip,zero trust network access",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
23,Cybersecurity Architecture,IBM,"application security,authentication,authorization computing,cyber attack,cyber security strategy,cybersecurity,data governance,data security,endpoint security,firewall,identity access management,network security,secure coding,security control,security information event management siem,threat detection",0,0,Intermediate ? Course ? 1 - 3 Months
24,Managing Cybersecurity,Kennesaw State University,"computer security incident management,contingency planning,crisis management,cyber attack,cyber governance,cyber security assessment,cyber security policy,cyber security strategy,cybersecurity,disaster recovery,firewall,general networking,incident response,network administration,network monitoring,network security,risk management,security management,vulnerability assessment,vulnerability management",0,0,Beginner ? Specialization ? 3 - 6 Months
25,NIST Cybersecurity and Risk Management Frameworks,Packt,"authorization computing,business risk management,change control,computer security incident management,configuration management,continuous monitoring,cyber risk,cyber security policy,cybersecurity,disaster recovery,enterprise security,nist 80053,risk analysis,risk management,security control,security management,security strategy,system monitoring,threat management,vulnerability assessment",0,0,Intermediate ? Specialization ? 3 - 6 Months
26,Cybersecurity Leadership and Management,Infosec,"asset management,business continuity,cyber governance,cyber risk,cyber security policy,cyber security strategy,cybersecurity,disaster recovery,governance,incident management,information assurance,information system security,key performance indicator kpis,leadership,leadership management,management,security control,security management,security requirement analysis,technical communication",0,0,Beginner ? Specialization ? 3 - 6 Months
27,IBM Generative AI for Cybersecurity Professionals,IBM,"anomaly detection,artificial intelligence,chatgpt,content writing,cyber threat intelligence,cybersecurity,generative ai,ibm cloud,incident management,incident response,large language modeling,malware protection,nlp,openai,program development,prompt engineering,security information event management siem,threat detection,threat modeling,vulnerability management",0,0,Intermediate ? Specialization ? 1 - 3 Months
28,Cybersecurity Best Practices,Coursera Instructor Network,"computer security awareness training,cyber risk,cyber security policy,cyber security strategy,cybersecurity,data integrity,data security,disaster recovery,enterprise security,incident response,information assurance,network security,security awareness,security control,security management,threat detection,threat management",0,0,Beginner ? Course ? 1 - 4 Weeks
29,Certified Ethical Hacking (v12),LearnKartS,"cloud computing,cloud infrastructure,cloud security,cloud service,cryptography,cyber attack,cyber security assessment,cyber threat intelligence,cybersecurity,distributed denialofservice ddos attack,firewall,information system security,intrusion detection prevention,malware protection,mobile security,network security,penetration testing,security testing,threat detection,threat modeling",0,0,Intermediate ? Specialization ? 1 - 3 Months
30,Cybersecurity Awareness for Everyone,Kennesaw State University,"authentication,computer security awareness training,computer security incident management,cyber attack,cyber risk,cybersecurity,email security,firewall,general networking,incident response,information privacy,mobile security,network security,personally identifiable information,proxy server,security awareness,social medium,threat detection,virtual private network vpn,wireless network",0,0,Beginner ? Specialization ? 3 - 6 Months
31,Cybersecurity Foundations,Infosec,"cloud computing,commandline interface,computer system,cyber governance,cyber risk,cyber security assessment,cyber security policy,cybersecurity,general networking,linux,linux command,microsoft window,network monitoring,operating system,penetration testing,risk management framework,security management,virtual machine,vulnerability assessment,window powershell",0,0,Beginner ? Specialization ? 1 - 3 Months
32,Cyber Threat Hunting,Infosec,"anomaly detection,cyber threat hunting,cyber threat intelligence,endpoint detection response,event monitoring,generative ai,intrusion detection prevention,linux,malware protection,mitre attck framework,network analysis,security information event management siem,system monitoring,threat detection,threat modeling",0,0,Intermediate ? Course ? 1 - 3 Months
33,Gen AI in Cybersecurity,Edureka,"application security,artificial intelligence,cyber security strategy,cyber threat intelligence,cybersecurity,data analysis,generative ai,incident response,machine learning,network security,secure coding,security architecture,threat detection",0,0,Beginner ? Course ? 1 - 4 Weeks
34,Cybersecurity for Tech Professionals,Campus BBVA,"computer security awareness training,cyber security policy,cybersecurity,data security,email security,identity access management,incident management,incident response,mobile security,security awareness,security information event management siem,threat detection,threat management",0,0,Intermediate ? Course ? 1 - 3 Months
35,Cybersecurity for Managers,Campus BBVA,"business process,computer security incident management,cyber attack,cyber risk,cybersecurity,encryption,identity access management,incident response,malware protection,multifactor authentication,risk analysis,security awareness,threat management",0,0,Beginner ? Course ? 1 - 3 Months
36,Introduction to Cyber Security,New York University,"authentication,computer security,cryptography,cyber attack,cyber risk,cyber security policy,cyber security strategy,cybersecurity,data encryption standard,distributed denialofservice ddos attack,enterprise security,firewall,infrastructure security,mobile security,network architecture,network security,public key infrastructure,security control,security engineering,threat modeling",0,0,Beginner ? Specialization ? 3 - 6 Months
37,Metasploit for Beginners: Ethical Penetration Testing,Coursera Project Network,"commandline interface,cyber security assessment,cybersecurity,linux,penetration testing,technical communication,virtual machine,vulnerability assessment,vulnerability scanning",0,0,Beginner ? Guided Project ? Less Than 2 Hours
38,Cybersecurity in Healthcare (Hospitals & Care Centres),Erasmus University Rotterdam,"computer security awareness training,cyber attack,cyber risk,cyber security policy,cybersecurity,data security,email security,encryption,general data protection regulation gdpr,health technology,human factor security,information privacy,malware protection,patient safety,safety security,security awareness,telehealth",0,0,Beginner ? Course ? 1 - 3 Months
39,Wireshark for Beginners: Capture Packets,Coursera Project Network,"general networking,linux,network analysis,network monitoring,network protocol,network security,software installation,tcpip",0,0,Beginner ? Guided Project ? Less Than 2 Hours
40,Introduction to Cybersecurity & Risk Management,"University of California, Irvine","asset management,asset protection,business continuity planning,compliance management,cyber governance,cyber risk,cyber security policy,cyber security strategy,regulatory compliance,risk analysis,risk management,risk management framework,risk mitigation,security awareness,security management,security strategy,supplier management,threat modeling,vendor management,vulnerability assessment",0,0,Beginner ? Specialization ? 1 - 3 Months
41,Analyze Network Traffic with TCPDump: Build a Logging Tool,Coursera Project Network,"linux,linux command,network analysis,network monitoring,network protocol,network security,scripting,shell script,tcpip",0,0,Intermediate ? Guided Project ? Less Than 2 Hours
42,"Penetration Testing, Threat Hunting, and Cryptography",IBM,"application security,code review,cryptography,cyber operation,cyber threat hunting,cyber threat intelligence,cybersecurity,encryption,mitre attck framework,network analysis,open web application security project owasp,penetration testing,security information event management siem,security testing,test planning,threat detection,threat management,threat modeling,vulnerability assessment,vulnerability scanning",0,0,Intermediate ? Course ? 1 - 3 Months
43,Introduction to Bash Shell Scripting,Coursera Project Network,"bash scripting language,commandline interface,file management,file system,linux,linux command,scripting,scripting language,shell script,unix,unix command",0,0,Beginner ? Guided Project ? Less Than 2 Hours
44,"Cybersecurity Compliance Framework, Standards & Regulations",IBM,"artificial intelligence,control objective information related technology cobit,cyber governance,cyber risk,cybersecurity,data ethic,general data protection regulation gdpr,information technology,information technology infrastructure library,isoiec 27001,nist 80053,open web application security project owasp,payment card industry pci data security standard,risk management,risk management framework,security management,service management",0,0,Intermediate ? Course ? 1 - 3 Months
45,Cybersecurity Risk Management Frameworks,Kennesaw State University,"business risk management,cost benefit analysis,cyber attack,cyber governance,cyber risk,cyber security strategy,cybersecurity,enterprise risk management erm,isoiec 27001,operational risk,risk analysis,risk management,risk management framework,risk mitigation,security awareness,security management,threat detection,threat management,vulnerability assessment,vulnerability management",0,0,Beginner ? Specialization ? 3 - 6 Months
46,Advanced Python Scripting for Cybersecurity,Infosec,"anomaly detection,authentication,automation,cyber operation,cybersecurity,data access,mitre attck framework,network analysis,network monitoring,network protocol,network security,penetration testing,python,scripting,system programming,tcpip,threat detection,user account",0,0,Beginner ? Specialization ? 1 - 3 Months
47,Kali Linux,Board Infinity,"commandline interface,cyber security assessment,cybersecurity,encryption,intrusion detection prevention,linux,network analysis,network monitoring,network security,penetration testing,software installation,virtual private network vpn,vulnerability assessment",0,0,Intermediate ? Course ? 1 - 4 Weeks
48,Cybersecurity Awareness and Innovation,EIT Digital,"computer security awareness training,cyber attack,cybersecurity,data security,email security,entrepreneurship,identity access management,security awareness,threat detection,threat management,user account",0,0,Beginner ? Course ? 1 - 3 Months
49,Homeland Security and Cybersecurity,University of Colorado System,"continuous monitoring,cyber attack,cyber governance,cyber operation,cyber risk,cyber security assessment,cyber security policy,cyber security strategy,cybersecurity,incident response,infrastructure security,legal risk,network infrastructure,nist 80053,public safety national security,risk management framework,security management,technology roadmaps,technology solution,transportation operation",0,0,Beginner ? Specialization ? 3 - 6 Months
50,GenAI for Cybersecurity Analysts,Coursera Instructor Network,"cyber threat intelligence,cybersecurity,data ethic,generative ai,incident response,penetration testing,prompt engineering,security information event management siem,security testing,threat detection,vulnerability assessment",0,0,Intermediate ? Course ? 1 - 4 Weeks
51, Cybersecurity and Privacy,Microsoft,"authentication,cloud computing,cybersecurity,desktop support,encryption,identity access management,information privacy,information system security,mac o,multifactor authentication,network security,server,technical support service,virtual private network vpn",0,0,Beginner ? Course ? 1 - 4 Weeks
52,Cybersecurity in the Cloud,University of Minnesota,"application security,authentication,authorization computing,cloud application,cloud computing,cloud security,cloud service,cloud storage,cryptography,cyber risk,cybersecurity,data security,devsecops,general data protection regulation gdpr,key management,network security,open web application security project owasp,personally identifiable information,secure coding,threat management",0,0,Beginner ? Specialization ? 3 - 6 Months
53,Put It to Work: Prepare for Cybersecurity Jobs,Google,"artificial intelligence,asset protection,communication,cyber threat intelligence,cybersecurity,data ethic,data security,incident management,incident response,information privacy,professional networking,security awareness,security information event management siem,stakeholder communication,stakeholder engagement",0,0,Beginner ? Course ? 1 - 3 Months
54,The GRC Approach to Managing Cybersecurity,Kennesaw State University,"continuous monitoring,cyber governance,cyber risk,cyber security assessment,cyber security policy,cyber security strategy,information privacy,risk management framework,security control,security management",0,0,Beginner ? Course ? 1 - 3 Months
55,Cybersecurity for Business,University of Colorado System,"authentication,cloud security,computer security awareness training,computer security incident management,cyber attack,cybersecurity,data security,distributed denialofservice ddos attack,enterprise security,incident response,intrusion detection prevention,malware protection,open web application security project owasp,penetration testing,risk management,security awareness,security strategy,security testing,threat detection,threat management",0,0,Beginner ? Specialization ? 3 - 6 Months
56,Generative AI Cybersecurity & Privacy for Leaders,Vanderbilt University,"ai personalization,artificial intelligence,business ethic,chatgpt,creative thinking,crisis management,crossfunctional collaboration,cyber security strategy,cybersecurity,expense management,generative ai,incident response,information privacy,large language modeling,personalized service,personally identifiable information,productivity,prompt engineering,threat detection,threat modeling",0,0,Beginner ? Specialization ? 3 - 6 Months
57,Introduction to Python for Cybersecurity ,Infosec,"automation,cyber operation,cyber threat intelligence,cybersecurity,mitre attck framework,network security,python,scripting",0,0,Intermediate ? Course ? 1 - 4 Weeks
58,The Foundations of Cybersecurity,Kennesaw State University,"continuous improvement process,cyber attack,cyber governance,cyber security policy,cyber security strategy,cybersecurity,firewall,intrusion detection prevention,network security,security control,security management,threat detection,threat management,virtual private network vpn,vulnerability assessment,vulnerability management",0,0,Beginner ? Course ? 1 - 3 Months
59,Introduction to Cybersecurity Careers,IBM,"computer security awareness training,cyber security policy,cyber security strategy,cybersecurity,data security,information technology,network security,technical support service",0,0,Beginner ? Course ? 1 - 4 Weeks
60,Cybersecurity Case Studies and Capstone Project,IBM,"artificial intelligence,computer security incident management,cyber threat intelligence,cybersecurity,incident response,malware protection,network security,penetration testing,security awareness,threat detection,threat management,vulnerability assessment,vulnerability management",0,0,Intermediate ? Course ? 1 - 3 Months
61,Cisco Cybersecurity Fundamentals,Board Infinity,"business continuity planning,business risk management,computer security incident management,cyber attack,cyber operation,cyber risk,cyber security policy,cyber threat intelligence,cybersecurity,enterprise risk management erm,incident response,network security,risk analysis,risk management,risk management framework,risk mitigation,security management,threat detection,threat management,vulnerability management",0,0,Intermediate ? Specialization ? 1 - 3 Months
62,Cybersecurity: Developing a Program for Your Business,Kennesaw State University,"business ethic,business risk management,computer security awareness training,cyber governance,cyber security policy,cyber security strategy,cyber threat intelligence,cybersecurity,enterprise risk management erm,human factor security,incident response,information management,internet thing,mobile security,performance measurement,risk management,security awareness,security management,threat detection,threat management",0,0,Beginner ? Specialization ? 3 - 6 Months
63,Cybersecurity: Protecting your Information at Home,Kennesaw State University,"cloud computing,cloud storage,cybersecurity,email security,encryption,firewall,general networking,information privacy,network security,personally identifiable information,security awareness,threat detection",0,0,Beginner ? Course ? 1 - 3 Months
64,Cybersecurity Risk Management Framework,Infosec,"authorization computing,continuous monitoring,cyber governance,cyber risk,cyber security assessment,cyber security policy,cyber security strategy,cybersecurity,federal information security management act,information assurance,information system security,infrastructure security,nist 80053,risk management,risk management framework,security control,security management,security requirement analysis,system development life cycle,vulnerability assessment",0,0,Beginner ? Specialization ? 3 - 6 Months
65,Office of the CISO Institute: Cybersecurity Essentials,Google,"application security,authentication,business continuity,cloud security,cyber governance,cyber security policy,cybersecurity,encryption,endpoint security,incident response,network security,risk management,threat detection,vulnerability assessment",0,0,Beginner ? Course ? 1 - 3 Months
66,Cybersecurity and Secure Software Design,Ball State University,"advanced encryption standard aes,application development,application security,authentication,cryptography,cybersecurity,data encryption standard,data integrity,email security,encryption,information system security,key management,network security,public key infrastructure",0,0,Intermediate ? Course ? 1 - 3 Months
67,Cybersecurity Solutions and Microsoft Defender,Microsoft,"cloud security,cyber security policy,cybersecurity,distributed denialofservice ddos attack,encryption,endpoint security,event management,firewall,identity access management,malware protection,microsoft azure,network security,security control,security information event management siem,threat detection,threat management,virtual machine",0,0,Beginner ? Course ? 1 - 4 Weeks
68,Cybersecurity Tools and Technologies,Microsoft,"cloud security,cybersecurity,firewall,intrusion detection prevention,microsoft azure,network security,penetration testing,security testing,system testing,virtual private network vpn,vulnerability management,vulnerability scanning",0,0,Beginner ? Course ? 1 - 4 Weeks
69,IBM AI Product Manager,IBM,"artificial intelligence,chatgpt,commercialization,competitive analysis,generative ai,innovation,new product development,openai,product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,product testing,project management life cycle,prompt engineering,sales,stakeholder engagement,stakeholder management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
70,Cybersecurity and the Internet of Things,Kennesaw State University,"cyber security strategy,cybersecurity,data security,emerging technology,enterprise security,general networking,information privacy,internet thing,mobile security,risk management framework,security awareness,wireless network",0,0,Intermediate ? Course ? 1 - 4 Weeks
71,Cybersecurity Testing and Prevention,Microsoft,"cloud security,commandline interface,cybersecurity,firewall,intrusion detection prevention,microsoft azure,network security,penetration testing,security testing,system testing,threat management,virtual private network vpn,vulnerability assessment,vulnerability management,window powershell",0,0,Beginner ? Course ? 1 - 4 Weeks
72,What Is Cybersecurity?,Kennesaw State University,"authentication,computer security awareness training,cyber attack,cyber risk,cybersecurity,general data protection regulation gdpr,human factor security,information privacy,nist 80053,personally identifiable information,threat detection",0,0,Beginner ? Course ? 1 - 3 Months
