id_no,title,organization,skills,ratings,review_counts,metadata
1,IBM Data Analyst,IBM,"big data,dashboard,data analysis,data storytelling,data visualization,data visualization software,data wrangling,excel formula,exploratory data analysis,generative ai,ibm cognos analytics,interactive data visualization,jupyter,matplotlib,microsoft excel,plotly,predictive modeling,professional networking,python,sql",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
2,Google Data Analytics,Google,"applicant tracking system,data analysis,data cleansing,data ethic,data literacy,data presentation,data storytelling,data validation,data visualization,data visualization software,ggplot2,interactive data visualization,interviewing skill,linkedin,presentation,rmarkdown,sampling statistic,spreadsheet software,stakeholder communication,tableau",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
3,Introduction to Data Analytics,IBM,"apache hadoop,apache hive,apache spark,big data,data analysis,data cleansing,data lake,data science,data visualization,data visualization software,data warehouse,microsoft excel,relational database,statistical analysis",0,0,Beginner ? Course ? 1 - 3 Months
4,Microsoft Power BI Data Analyst,Microsoft,"dashboard,data analysis,data analysis expression dax,data cleansing,data modeling,data presentation,data storytelling,data transformation,data validation,data visualization software,datadriven decisionmaking,excel formula,extract,interactive data visualization,load,microsoft copilot,microsoft excel,powerbi,spreadsheet software,sql,star schema,transform",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
5,Data Analysis with Python,IBM,"data analysis,data cleansing,data importexport,data manipulation,data pipeline,data visualization,data wrangling,datadriven decisionmaking,descriptive statistic,exploratory data analysis,feature engineering,matplotlib,numpy,panda python package,predictive modeling,python,regression analysis,scikit learn machine learning library,statistical analysis,supervised learning",0,0,Intermediate ? Course ? 1 - 3 Months
6,Excel Basics for Data Analysis,IBM,"data analysis,data cleansing,data importexport,data manipulation,data quality,data science,data visualization software,data wrangling,excel formula,google sheet,information privacy,microsoft excel,pivot table chart,spreadsheet software",0,0,Beginner ? Course ? 1 - 3 Months
7,"Python for Data Science, AI & Development",IBM,"application programming interface api,computer programming,data analysis,data importexport,data manipulation,data structure,file management,jupyter,numpy,object oriented programming oop,panda python package,programming principle,python,restful api,web scraping",0,0,Beginner ? Course ? 1 - 3 Months
8,Meta Data Analyst,Meta,"bayesian statistic,business metric,data analysis,data cleansing,data collection,data governance,data management,data presentation,data storytelling,data visualization,data visualization software,descriptive statistic,exploratory data analysis,information privacy,key performance indicator kpis,panda python package,python,spreadsheet software,sql,statistical hypothesis testing",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
9,"Foundations: Data, Data, Everywhere",Google,"analytical skill,data analysis,data cleansing,data ethic,data management,data processing,data sharing,data visualization,data visualization software,datadriven decisionmaking,google sheet,spreadsheet software,sql",0,0,Beginner ? Course ? 1 - 4 Weeks
10,Google Advanced Data Analytics,Google,"data analysis,data ethic,data presentation,data science,data storytelling,data transformation,data visualization,data visualization software,descriptive statistic,exploratory data analysis,feature engineering,interviewing skill,machine learning,object oriented programming oop,python,regression analysis,sampling statistic,statistical analysis,statistical hypothesis testing,tableau",0,0,Advanced ? Professional Certificate ? 3 - 6 Months
