id_no,title,organization,skills,ratings,review_counts,metadata
1, IT Security: Defense against the digital dark arts ,Google,"application security,authorization computing,computer security,cryptography,cybersecurity,data security,encryption,firewall,hardening,identity access management,information system security,information technology,malware protection,network security,security awareness,security control,security management,security strategy,threat detection,threat management",0,0,Beginner ? Course ? 1 - 3 Months
2,Google Cybersecurity,Google,"bash scripting language,cloud security,computer security incident management,cyber attack,cyber threat intelligence,cybersecurity,debugging,hardening,incident response,interviewing skill,intrusion detection prevention,linux,network protocol,network security,python,sql,threat management,threat modeling,vulnerability assessment,vulnerability management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
3,CISSP Certified Information Systems Security Professional,Packt,"authorization computing,cryptography,cybersecurity,data management,devsecops,identity access management,information system security,isoiec 27001,network performance management,network security,penetration testing,remote access system,risk analysis,risk management,rolebased access control rbac,security management,software development methodology,threat management,user provisioning,vulnerability scanning",0,0,Beginner ? Specialization ? 3 - 6 Months
4,Certified Information Security Manager (CISM),Packt,"cyber governance,cyber risk,disaster recovery,management,risk management framework,security awareness,security control,security management,security strategy,threat management,vulnerability assessment",0,0,Intermediate ? Course ? 1 - 4 Weeks
5,Introduction to Cybersecurity Essentials,IBM,"application security,computer security awareness training,cryptography,cyber attack,cybersecurity,data security,encryption,hardening,information privacy,information system security,malware protection,multifactor authentication,network security,personally identifiable information,security awareness,security control,threat management",0,0,Beginner ? Course ? 1 - 4 Weeks
6,Foundations of Cybersecurity,Google,"cyber attack,cyber risk,cyber security strategy,cybersecurity,data ethic,ethical standard conduct,incident response,information assurance,network analysis,security control,security information event management siem,security management",0,0,Beginner ? Course ? 1 - 4 Weeks
7,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,"change management,incident management,management,performance review,risk management",0,0,Beginner ? Course ? 1 - 4 Weeks
8,Information Security Analyst,EC-Council,"application security,cloud security,computer security incident management,cryptography,cyber security policy,cybersecurity,identity access management,incident response,internet thing,malware protection,mobile security,network monitoring,network security,penetration testing,risk analysis,security information event management siem,threat detection,vulnerability assessment,vulnerability management,web application",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
9,IT Fundamentals for Cybersecurity,IBM,"cloud computing,cloud security,computer security incident management,cyber attack,cyber risk,cybersecurity,data ethic,identity access management,incident response,information technology infrastructure library,linux,linux server,malware protection,network protocol,network security,networking hardware,operating system,service management,tcpip,window server",0,0,Beginner ? Specialization ? 3 - 6 Months
10,IBM and ISC2 Cybersecurity Specialist,Multiple educators,"application security,business continuity,cloud computing architecture,cloud security,cloud service,computer security incident management,computing platform,configuration management,cryptography,cybersecurity,disaster recovery,governance,incident response,information technology,network protocol,network security,penetration testing,peripheral device,sdlc,security control",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
11,Cybersecurity for Everyone,"University of Maryland, College Park","computer security awareness training,cyber attack,cyber governance,cyber risk,cyber security policy,cyber security strategy,cybersecurity,data security,enterprise security,general networking,governance,infrastructure security,political science,public safety national security,risk management,security awareness,security management,telecommunication,threat detection,vulnerability",0,0,Beginner ? Course ? 1 - 3 Months
12,IBM Cybersecurity Analyst,IBM,"cloud computing,computer security incident management,cyber security assessment,cyber threat hunting,cyber threat intelligence,cybersecurity,database management,endpoint security,identity access management,incident response,information technology infrastructure library,interviewing skill,intrusion detection prevention,linux,malware protection,network security,networking hardware,penetration testing,service management,tcpip",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
