id_no,title,organization,skills,ratings,review_counts,metadata
1,IBM Product Manager,IBM,"agile methodology,agile product development,agile project management,agile software development,innovation,kanban principle,leadership,new product development,product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,product testing,project management life cycle,sprint retrospective,stakeholder engagement,usability testing,user story",0,0,Beginner З Professional Certificate З 3 - 6 Months
2,IBM AI Product Manager,IBM,"artificial intelligence,chatgpt,commercialization,competitive analysis,generative ai,innovation,new product development,openai,product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,product testing,project management life cycle,prompt engineering,sales,stakeholder engagement,stakeholder management",0,0,Beginner З Professional Certificate З 3 - 6 Months
3,Microsoft AI Product Manager,Microsoft,"business research,competitive analysis,competitive intelligence,data analysis,design thinking,market analysis,market opportunity,market research,new product development,persona development,product development,product lifecycle management,product management,product quality qaqc,product roadmaps,product strategy,qa testing,usability,user interface ui design,user story",0,0,Beginner З Professional Certificate З 3 - 6 Months
4,Product Management: An Introduction,IBM,"market research,new product development,portfolio management,product development,product lifecycle management,product management,product roadmaps,product strategy,project management,stakeholder management,value proposition",0,0,Beginner З Course З 1 - 3 Months
5,Digital Product Management,University of Virginia,"agile methodology,agile product development,agile project management,agile software development,analytics,continuous delivery,customer analysis,design thinking,devops,innovation,leadership,new product development,product improvement,product management,product testing,team building,team management,team performance management,usability testing,user story",0,0,Beginner З Specialization З 3 - 6 Months
6,Software Product Management,University of Alberta,"agile methodology,agile software development,backlog,business requirement,functional requirement,kanban principle,product management,product requirement,project management,requirement analysis,requirement elicitation,requirement management,risk management framework,scrum software development,sdlc,software development methodology,software technical review,sprint planning,sprint retrospective",0,0,Beginner З Specialization З 3 - 6 Months
7,AI Product Management,Duke University,"applied machine learning,artificial intelligence machine learning aiml,classification regression tree cart,data ethic,data management,data quality,data science,deep learning,human centered design,human computer interaction,human factor,machine learning,mlops machine learning operation,product design,product management,project management,regression analysis,technical management,unsupervised learning,ux design",0,0,Beginner З Specialization З 3 - 6 Months
8,Digital Product Management: Modern Fundamentals,University of Virginia,"agile methodology,business modeling,customer engagement,customer insight,datadriven decisionmaking,design product,design thinking,innovation,marketing analytics,new product development,product improvement,product management,product roadmaps,product testing,stakeholder communication,stakeholder management",0,0,Beginner З Course З 1 - 4 Weeks
9,Google Project Management:,Google,"agile project management,applicant tracking system,backlog,change management,continuous improvement process,interviewing skill,milestone project management,project closure,project control,project documentation,project management,project management life cycle,project scoping,quality assessment,quality management,requirement analysis,sprint retrospective,stakeholder management,team management",0,0,Beginner З Professional Certificate З 3 - 6 Months
10,Product Management Essentials,"University of Maryland, College Park","agile methodology,commercialization,crossfunctional team leadership,leadership,market opportunity,marketing,new product development,product design,product development,product lifecycle management,product management,product roadmaps,product strategy,stakeholder management,team management,ux design",0,0,Beginner З Course З 1 - 4 Weeks
11,Xbox Product Manager,Xbox,"competitive analysis,consumer behaviour,data analysis,design thinking,market analysis,market research,mockups,new product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,stakeholder communication,stakeholder management,usability testing,user interface ui,user interface user experience uiux design,user story,wireframing",0,0,Beginner З Professional Certificate З 3 - 6 Months
12,Product Management,Universidad de Palermo,"brand management,business strategy,consumer behaviour,customer experience strategy cx,customer insight,market opportunity,marketing,marketing management,product development,product lifecycle management,product management,product strategy,strategic marketing,target market",0,0,Beginner З Course З 1 - 4 Weeks
13,Generative AI for Product Managers,IBM,"artificial intelligence,chatgpt,commercialization,creativity,customer experience improvement,generative ai,ibm cloud,large language modeling,new product development,openai,product development,product improvement,product lifecycle management,product management,product strategy,prompt engineering,return investment,stakeholder communication,team building,technical product management",0,0,Intermediate З Specialization З 1 - 3 Months
14,Real-World Product Management,Advancing Women in Tech,"artificial intelligence machine learning aiml,crossfunctional team leadership,customer retention,design,financial analysis,financial statement analysis,innovation,interviewing skill,leadership,new product development,performance management,product development,product lifecycle management,product management,product requirement,product roadmaps,product strategy,professional networking,technical product management,ux design",0,0,Beginner З Specialization З 3 - 6 Months
15,Product Management Certification,SkillUp EdTech,"agile methodology,agile product development,commercialization,competitive analysis,go market strategy,innovation,leadership,new product development,product development,product lifecycle management,product management,product planning,product requirement,product roadmaps,product strategy,product testing,project management life cycle,sales,stakeholder engagement,stakeholder management",0,0,Beginner З Specialization З 3 - 6 Months
16,Drug Development Product Management,University of California San Diego,"bioinformatics,business strategy,clinical research,clinical trial,commercialization,go market strategy,health care procedure regulation,intellectual property,market dynamic,marketing,medical science research,new product development,pharmaceutical,pharmacology,pharmacotherapy,portfolio management,product marketing,regulatory affair,strategic partnership",0,0,Beginner З Specialization З 3 - 6 Months
17,"Product Ideation, Design, and Management","University of Maryland, College Park","commercialization,competitive analysis,financial analysis,financial statement,ideation,innovation,leadership,market opportunity,new product development,product design,product development,product lifecycle management,product management,proposal writing,prototyping,stakeholder management,target market,ux design,value proposition,wireframing",0,0,Beginner З Specialization З 3 - 6 Months
18,Brand and Product Management,IE Business School,"brand awareness,brand loyalty,brand management,brand strategy,branding,competitive analysis,customer engagement,customer experience strategy cx,design product,employee engagement,new product development,portfolio management,product lifecycle management,product management,product planning,product strategy",0,0,Beginner З Course З 1 - 3 Months
19,Build a Product Management Plan Framework in Trello,Coursera Project Network,"collaborative software,kanban principle,product lifecycle management,product management,product planning,project management,project management software,team oriented,timeline,workflow management",0,0,Beginner З Guided Project З Less Than 2 Hours
20,Agile Project Management,Google,"agile methodology,agile product development,agile project management,backlog,coaching,influencing,kanban principle,organizational change,prioritization,problem solving,product roadmaps,sprint planning,sprint retrospective,team management,user story",0,0,Beginner З Course З 1 - 4 Weeks
21,What is Product Lifecycle Management?,Coursera Instructor Network,"ai personalization,automation,business process management,business strategy,change management,competitive analysis,data management,innovation,key performance indicator kpis,process management,product improvement,product lifecycle management,product management,product planning,product roadmaps,product strategy,project implementation,strategic planning,system implementation,technology strategy",0,0,Beginner З Course З 1 - 4 Weeks
22,Foundations of Project Management,Google,"agile methodology,change management,organizational change,organizational structure,program management,project closure,project management,project management life cycle,strategic thinking,waterfall methodology",0,0,Beginner З Course З 1 - 4 Weeks
23,Product Management: Capstone Project,IBM,"agile product development,business strategy,demand generation,market analysis,market intelligence,marketing planning,new product development,portfolio management,product development,product lifecycle management,product management,product requirement,product roadmaps,product strategy,product testing,usability testing",0,0,Advanced З Course З 1 - 3 Months
