id_no,title,organization,skills,ratings,review_counts,metadata
1,Google Project Management:,Google,"agile project management,applicant tracking system,backlog,change management,continuous improvement process,interviewing skill,milestone project management,project closure,project control,project documentation,project management,project management life cycle,project scoping,quality assessment,quality management,requirement analysis,sprint retrospective,stakeholder management,team management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
2,Foundations of Project Management,Google,"agile methodology,change management,organizational change,organizational structure,program management,project closure,project management,project management life cycle,strategic thinking,waterfall methodology",0,0,Beginner ? Course ? 1 - 4 Weeks
3,Project Management Essentials,Howard University,"agile project management,change control,leadership,project closure,project control,project coordination,project management,project management institute pmi methodology,project management life cycle,project risk management,scope management,stakeholder management",0,0,Beginner ? Course ? 1 - 4 Weeks
4,Project Management,University of Colorado Boulder,"agile methodology,agile project management,engineering management,leadership,milestone project management,procurement,project closure,project management,project schedule,project scoping,quality management,risk management,scheduling,scrum software development,stakeholder communication,stakeholder management,supplier management,team management,user story",0,0,Beginner ? Specialization ? 1 - 3 Months
5,Agile Project Management,Google,"agile methodology,agile product development,agile project management,backlog,coaching,influencing,kanban principle,organizational change,prioritization,problem solving,product roadmaps,sprint planning,sprint retrospective,team management,user story",0,0,Beginner ? Course ? 1 - 4 Weeks
6,Introduction to Project Management ,IBM,"agile methodology,agile project management,communication,management,project management,project management life cycle,project risk management,scope management,stakeholder management,technical management",0,0,Beginner ? Course ? 1 - 3 Months
7,IBM Project Manager,IBM,"agile methodology,agile software development,communication,earned value management,interviewing skill,kanban principle,leadership,management,peer review,professional networking,project management,project management life cycle,project risk management,project schedule,resource management,resource planning,risk management,stakeholder engagement,stakeholder management,team motivation",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
8,Project Management Principles and Practices,"University of California, Irvine","budgeting,change control,conflict management,cost estimation,estimation,milestone project management,peer review,project control,project management,project management life cycle,project performance,project risk management,project schedule,quality management,risk management,scheduling,stakeholder management,timeline,work breakdown structure",0,0,Beginner ? Specialization ? 3 - 6 Months
9,Microsoft Project Management,Microsoft,"agile methodology,agile project management,budgeting,communication,earned value management,planning,project closure,project implementation,project management,project management institute pmi methodology,project performance,project risk management,risk analysis,risk management,stakeholder communication,stakeholder engagement,stakeholder management,system thinking,team building,team performance management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
10,Create a Project Management Tracker using Microsoft Excel,Coursera Project Network,"collaborative software,data validation,microsoft excel,productivity software,project coordination,project management,project management software,spreadsheet software",0,0,Beginner ? Guided Project ? Less Than 2 Hours
11,PMI-PMP? Certification Training Course,LearnKartS,"adaptability,agile methodology,agile project management,conflict management,cost estimation,cost management,kanban principle,project management,project management institute pmi methodology,project management office pmo,project risk management,project schedule,project scoping,quality management,risk management,scope management,stakeholder engagement,stakeholder management,team management",0,0,Intermediate ? Specialization ? 1 - 3 Months
12,Project Management and Planning,Johns Hopkins University,"agile methodology,agile project management,configuration management,conflict management,earned value management,leadership,negotiation,product roadmaps,project closure,project control,project coordination,project management,project management life cycle,project portfolio management,project schedule,risk management,scheduling,stakeholder engagement,work breakdown structure",0,0,Intermediate ? Specialization ? 3 - 6 Months
13,Fundamentals of Project Planning and Management,University of Virginia,"agile methodology,dependency analysis,earned value management,kanban principle,milestone project management,planning,project management,project schedule,project scoping,risk analysis,risk management,stakeholder management",0,0,Beginner ? Course ? 1 - 4 Weeks
14,Introduction to Project Management with ClickUp,Coursera Project Network,"calendar management,collaborative software,document management,goal setting,organizational skill,prioritization,productivity,productivity software,project management,project management software,scheduling,time management,user account,workflow management",0,0,Beginner ? Guided Project ? Less Than 2 Hours
15,IBM IT Project Manager,IBM,"agile methodology,agile software development,communication,design patterns,earned value management,information technology,interviewing skill,leadership,peer review,project management,project management life cycle,project risk management,resource management,risk management,sdlc,software architecture,sprint retrospective,stakeholder engagement,stakeholder management,team motivation",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
16,Project Management: Creating the WBS,Coursera Project Network,"google sheet,organizational structure,project coordination,project estimation,project management,project management software,project scoping,scope management,standard operating procedure,work breakdown structure",0,0,Beginner ? Guided Project ? Less Than 2 Hours
17,Construction Project Management,Columbia University,"building information modeling,construction management,contract management,engineering management,environment health safety,lean methodology,organizational structure,project management,project management life cycle,project risk management,project schedule,sustainability reporting,work breakdown structure",0,0,Beginner ? Course ? 1 - 3 Months
18,Engineering Project Management,Rice University,"communication planning,cost management,earned value management,organizational structure,planning,procurement,project documentation,project estimation,project management,project risk management,project schedule,project scoping,qa testing,requirement management,risk management,scheduling,scope management,stakeholder management,team management,work breakdown structure",0,0,Beginner ? Specialization ? 3 - 6 Months
19,Business Analysis & Process Management,Coursera Project Network,"business analysis,business process,business process modeling,process analysis,process flow diagram,process management,process mapping,stakeholder management,workflow management",0,0,Beginner ? Guided Project ? Less Than 2 Hours
20,Construction Management,Columbia University,"bidding,building information modeling,business transformation,construction,construction estimating,construction management,cost control,cost estimation,environment health safety,finance,innovation,lean methodology,project closure,project finance,project risk management,project schedule,punch work,real estate,scheduling,timeline",0,0,Beginner ? Specialization ? 3 - 6 Months
21,Capstone: Applying Project Management in the Real World,Google,"communication strategy,generative ai agent,interviewing skill,milestone project management,problem solving,project documentation,project management,project scoping,quality management,requirement analysis,sprint retrospective,stakeholder management",0,0,Beginner ? Course ? 1 - 4 Weeks
22,ChatGPT for Project Management - Leveraging AI for Success,Vanderbilt University,"artificial intelligence,business metric,chatgpt,creative thinking,generative ai,key performance indicator kpis,large language modeling,milestone project management,productivity,project documentation,project implementation,project management,project risk management,project schedule,prompt engineering,risk analysis,taking meeting minute,timeline,workflow management",0,0,Beginner ? Specialization ? 1 - 3 Months
23,Project Management,"University of California, Irvine","agile methodology,agile project management,communication planning,conflict management,earned value management,leadership,milestone project management,program management,project coordination,project documentation,project implementation,project management,project schedule,project scoping,resource planning,resource utilization,stakeholder communication,stakeholder management,work breakdown structure",0,0,Beginner ? Specialization ? 3 - 6 Months
24,Generative AI for Project Managers,IBM,"artificial intelligence,business ethic,chatgpt,content writing,generative ai,ibm cloud,image analysis,large language modeling,machine learning,microsoft copilot,openai,program development,project documentation,project management,project management life cycle,prompt engineering,risk management,team building,workflow management",0,0,Intermediate ? Specialization ? 1 - 3 Months
25,Project Management in Construction,L&T EduTech,"communication strategy,contract management,cost estimation,cost management,earned value management,environment health safety,feasibility study,procurement,project control,project management life cycle,project risk management,project schedule,project scoping,quality management,risk analysis,risk management,scheduling,scope management,stakeholder management,work breakdown structure",0,0,Advanced ? Specialization ? 1 - 3 Months
26,Introduction to Agile Development and Scrum,IBM,"agile methodology,agile project management,agile software development,backlog,continuous improvement process,estimation,kanban principle,lean methodology,performance measurement,performance metric,prioritization,sprint planning,sprint retrospective,team oriented,user story,workflow management",0,0,Beginner ? Course ? 1 - 4 Weeks
27,Project Initiation: Starting a Successful Project,Google,"accountability,business writing,cost benefit analysis,goal setting,project documentation,project management,project management life cycle,project management software,project scoping,resource management,stakeholder management,strategic thinking",0,0,Beginner ? Course ? 1 - 4 Weeks
28,Project Management: The Basics for Success,"University of California, Irvine","communication,communication planning,leadership,leadership management,management reporting,performance reporting,project control,project management,project management life cycle,project performance,project schedule,stakeholder management,team building,team management,team performance management",0,0,Mixed ? Course ? 1 - 4 Weeks
29,Certified Associate in Project Management (CAPM),Packt,"business modeling,business process,communication planning,earned value management,ethical standard conduct,kanban principle,leadership,leadership study,performance management,product management,project coordination,project documentation,project management software,project schedule,risk management,scaled agile framework,stakeholder management,user acceptance testing uat,user requirement document,waterfall methodology",0,0,Intermediate ? Specialization ? 1 - 3 Months
30,Introduction to Project Management,Coursera Project Network,"project documentation,project management,project management software,project schedule,project scoping,stakeholder management,team management,timeline,work breakdown structure",0,0,Beginner ? Guided Project ? Less Than 2 Hours
31,Project Risk Management,Coursera Instructor Network,"business risk management,governance risk management compliance,project management,project risk management,risk analysis,risk management,risk management framework,risk mitigation,stakeholder communication",0,0,Beginner ? Course ? 1 - 4 Weeks
32,Project Management Fundamentals,Microsoft,"governance,organizational structure,project closure,project coordination,project implementation,project management,project management institute pmi methodology,project management life cycle,project management office pmo,stakeholder communication,stakeholder engagement,stakeholder management",0,0,Beginner ? Course ? 1 - 4 Weeks
33,"Project Leadership: Prioritizing, Managing Risks, Evaluating",Coursera Instructor Network,"analytical skills,business risk management,initiative leadership,leadership,leadership management,planning,prioritization,program evaluation,project control,project implementation,project management,project risk management,risk management,team management",0,0,Intermediate ? Course ? 1 - 4 Weeks
34,Create a Project Management Tracker using Google Sheets,Coursera Project Network,"business,collaborative software,data management,google sheet,organizational skill,productivity software,project coordination,project management,project management software,small business accounting,spreadsheet software",0,0,Beginner ? Guided Project ? Less Than 2 Hours
35,Project Management Capstone,IBM,"agile project management,backlog,change management,communication planning,leadership,peer review,project closure,project control,project documentation,project management,project management life cycle,project performance,project portfolio management,quality management,risk management,scrum software development,stakeholder management,user story,work breakdown structure",0,0,Advanced ? Course ? 1 - 3 Months
36,How to create a Jira SCRUM project,Coursera Project Network,"agile methodology,agile project management,backlog,dependency analysis,jira software,prioritization,project management,run chart,scrum software development,sprint planning,user story,workflow management",0,0,Beginner ? Guided Project ? Less Than 2 Hours
37,Fundamentals of Project Management,Johns Hopkins University,"budgeting,project coordination,project estimation,project management,project management life cycle,project management software,project schedule,scheduling,team management,work breakdown structure",0,0,Intermediate ? Course ? 1 - 3 Months
38,"Project Management: Tools, Approaches, Behavioural Skills",Politecnico di Milano,"conflict management,cost control,cost management,earned value management,innovation,organizational structure,planning,project closure,project control,project coordination,project management,project management life cycle,project risk management,project schedule,project scoping,risk management,scope management,team management,work breakdown structure",0,0,Beginner ? Specialization ? 1 - 3 Months
39,Managing AI Projects: From Strategy to Delivery,Johns Hopkins University,"agile methodology,artificial intelligence,budget management,business ethic,data ethic,diversity training,human resource management planning,performance appraisal,project management,project management life cycle,project risk management,risk management,risk mitigation,scalability,stakeholder engagement,stakeholder management,talent management,team building,team management,workforce management",0,0,Intermediate ? Course ? 1 - 4 Weeks
40,Project Management in Healthcare : Tools and Tactics,Coursera Instructor Network,"collaboration,collaborative software,communication strategy,compliance management,continuous improvement process,health care procedure regulation,healthcare industry knowledge,operational efficiency,project coordination,project implementation,project management,project management software,regulatory compliance,risk management,team building,workflow management",0,0,Intermediate ? Course ? 1 - 4 Weeks
41,Investment Risk Management,Coursera Project Network,"financial analysis,financial management,financial market,investment,investment management,portfolio management,return investment,risk analysis,risk management,statistic",0,0,Intermediate ? Guided Project ? Less Than 2 Hours
42,Introduction to CRM with HubSpot,Coursera Project Network,"business software,customer communication management,customer data management,customer relationship management,customer support,dashboard,data management,email marketing,hubspot crm,marketing,marketing material,sale development,sale operation,sale pipeline,team oriented",0,0,Beginner ? Guided Project ? Less Than 2 Hours
43,Agile Project Management,"University of Maryland, College Park","agile methodology,agile project management,agile software development,backlog,brainstorming,conflict management,empowerment,ideation,innovation,prioritization,problem solving,program management,project control,project portfolio management,scaled agile framework,solution design,sprint planning,sprint retrospective,team motivation,user story",0,0,Beginner ? Specialization ? 3 - 6 Months
44,Advanced Project Management and Leadership,Johns Hopkins University,"agile methodology,agile project management,auditing,innovation,leadership,negotiation,new product development,product lifecycle management,product roadmaps,project closure,project management,project performance,project portfolio management,project risk management,resource allocation",0,0,Intermediate ? Course ? 1 - 3 Months
45,Project Management for Information Technology and Management,Illinois Tech,"communication strategy,cost estimation,cost management,human resource management planning,information technology,leadership study,procurement,project management,project management life cycle,project risk management,project schedule,quality management,resource allocation,resource planning,scheduling,scope management,stakeholder communication,stakeholder management",0,0,Beginner ? Course ? 1 - 3 Months
46,Project Planning: Putting It All Together,Google,"budgeting,communication planning,cost management,estimation,milestone project management,procurement,project documentation,project management,project schedule,risk management,strategic thinking,timeline",0,0,Beginner ? Course ? 1 - 3 Months
47,Construction Management Fundamentals,"University of Maryland, College Park","architecture construction,bidding,commercial construction,construction,construction engineering,construction estimating,construction management,cost estimation,energy utility,engineering management,leadership development,leadership management,leadership study,project closure,project control,project management,project management life cycle,project schedule,risk management,value engineering",0,0,Beginner ? Specialization ? 3 - 6 Months
48,Agile Project Management,University of Colorado Boulder,"agile methodology,agile project management,engineering management,leadership,organizational strategy,project management,scrum software development,software development methodology,sprint planning,user story,virtual team",0,0,Beginner ? Course ? 1 - 4 Weeks
49,IBM AI Product Manager,IBM,"artificial intelligence,chatgpt,commercialization,competitive analysis,generative ai,innovation,new product development,openai,product development,product lifecycle management,product management,product planning,product roadmaps,product strategy,product testing,project management life cycle,prompt engineering,sales,stakeholder engagement,stakeholder management",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
50,"ChatGPT for Project Management: Insight, Planning, & Success",Vanderbilt University,"business metric,chatgpt,generative ai,key performance indicator kpis,large language modeling,milestone project management,project documentation,project management,project risk management,project schedule,prompt engineering,risk analysis,timeline,workflow management",0,0,Mixed ? Course ? 1 - 4 Weeks
51,Financial Markets,Yale University,"banking,behavioral economics,business risk management,capital market,corporate finance,derivative,enterprise risk management erm,finance,financial market,financial policy,financial regulation,financial service,governance,insurance,investment,investment banking,market dynamic,risk management,security finance,underwriting",0,0,Beginner ? Course ? 1 - 3 Months
52,Business Value and Project Management,University of Illinois Urbana-Champaign,"accrual accounting,agile methodology,business ethic,business management,cash flow,change management,financial accounting,financial statement,governance,organizational change,organizational effectiveness,organizational leadership,organizational strategy,organizational structure,project closure,project implementation,project management,revenue recognition,waterfall methodology",0,0,Beginner ? Specialization ? 3 - 6 Months
53,Innovation Management,Erasmus University Rotterdam,"brainstorming,business strategy,creativity,design thinking,diversity inclusion,innovation,lean methodology,organizational leadership,process development,product development,product lifecycle management,team management",0,0,Beginner ? Course ? 1 - 3 Months
54,"ChatGPT for Project Management: Execution, Tracking, Success",Vanderbilt University,"brainstorming,chatgpt,generative ai,management reporting,meeting facilitation,project documentation,project implementation,project management,prompt engineering,scheduling,taking meeting minute,team oriented",0,0,Beginner ? Course ? 1 - 4 Weeks
55,Agile with Atlassian Jira,Atlassian,"agile methodology,agile project management,backlog,continuous improvement process,jira software,kanban principle,lean methodology,product requirement,project management,query language,scrum software development,software versioning,sprint planning,sprint retrospective,user story,workflow management",0,0,Beginner ? Course ? 1 - 4 Weeks
56,Project Execution: Running the Project,Google,"continuous improvement process,datadriven decisionmaking,meeting facilitation,project closure,project control,project documentation,project management,project management life cycle,quality assessment,quality management,risk management,stakeholder communication,strategic thinking,team management,technical communication",0,0,Beginner ? Course ? 1 - 3 Months
