id_no,title,organization,skills,ratings,review_counts,metadata
1,Introduction to Software Engineering,IBM,"agile methodology,application development,backend web development,cloud development,computer programming,design patterns,frontend web development,integrated development environment,programming principle,python,scrum software development,sdlc,software architecture,software design pattern,software development,software engineering,web development",0,0,Beginner ? Course ? 1 - 3 Months
2,IBM DevOps and Software Engineering,IBM,"agile software development,application deployment,application development,cicd,cloud computing architecture,devops,flask web framework,gherkin scripting language,git version control system,grafana,istio,jenkins,jupyter,linux command,open web application security project owasp,sdlc,software architecture,software engineering,test driven development tdd",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
3,Software Engineering,The Hong Kong University of Science and Technology,"acceptance testing,configuration management,data modeling,debugging,design patterns,functional requirement,oop,process driven development,project management,qa testing,requirement analysis,sdlc,software architecture,software design pattern,software development methodology,software engineering,software quality assurance,system design,unified modeling language",0,0,Intermediate ? Specialization ? 3 - 6 Months
4,Java Programming and Software Engineering Fundamentals,Duke University,"ai personalization,algorithm,cascading style sheet cs,computer programming,cryptography,data analysis,data structure,debugging,design patterns,encryption,html cs,hypertext markup language html,java,javascript,object oriented programming oop,programming principle,software design pattern,software engineering,web development",0,0,Beginner ? Specialization ? 3 - 6 Months
5,Software Design and Architecture,University of Alberta,"api design,code review,design patterns,java,microservices,model view controller,object oriented programming oop,oop,restful api,service oriented architecture,simple object access protocol soap,software architecture,software design pattern,software development,software system,software visualization,solution architecture,system architecture,unified modeling language,web service",0,0,Beginner ? Specialization ? 3 - 6 Months
6,IBM Full Stack Software Developer,IBM,"application deployment,cascading style sheet cs,cloud computing,cloud computing architecture,cloud service,django web framework,engineering software,flask web framework,fullstack web development,git version control system,istio,jupyter,kubernetes,node,objectrelational mapping,prompt engineering,react redux,sdlc,server side,software architecture",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
7,Applied Software Engineering Fundamentals,IBM,"application deployment,bash scripting language,data structure,design patterns,file management,flask web framework,git version control system,github,jupyter,linux,linux command,python,scrum software development,sdlc,shell script,software architecture,software engineering,unit testing,unix shell,version control",0,0,Beginner ? Specialization ? 3 - 6 Months
8,Amazon Junior Software Developer,Amazon,"application development,database management,digital transformation,fullstack web development,generative ai,git version control system,java,junit,object oriented programming oop,oop,requirement analysis,restful api,sdlc,software development,software development methodology,sql,system development,test driven development tdd,version control",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
9,Microsoft Full-Stack Developer,Microsoft,"application deployment,aspnet,authentication,c programming language,cicd,debugging,fullstack web development,git version control system,github,graph theory,html cs,load balancing,microsoft copilot,net framework,object oriented programming oop,rolebased access control rbac,scalability,sql,web development",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
10,Microsoft Back-End Developer,Microsoft,"application deployment,aspnet,authentication,backend web development,c programming language,cicd,data structure,database management,debugging,graph theory,load balancing,microsoft copilot,net framework,object oriented programming oop,program development,relational database,rolebased access control rbac,scalability,sql",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
11,Prompt Engineering for ChatGPT,Vanderbilt University,"application development,artificial intelligence,brainstorming,chatgpt,collaboration,creative thinking,generative ai,ingenuity,large language modeling,problem solving,productivity,prompt engineering",0,0,Beginner ? Course ? 1 - 3 Months
12,Software Development Lifecycle,University of Minnesota,"agile methodology,agile project management,agile software development,application security,design patterns,design thinking,engineering software,kanban principle,oop,process mapping,program development,scrum software development,sdlc,software architecture,software design pattern,software development methodology,software engineering,software quality assurance,user story,ux design",0,0,Intermediate ? Specialization ? 3 - 6 Months
13,Generative AI: Prompt Engineering Basics,IBM,"chatgpt,ibm cloud,large language modeling,prompt engineering",0,0,Beginner ? Course ? 1 - 4 Weeks
