id_no,title,organization,skills,ratings,review_counts,metadata
1,Google UX Design,Google,"applicant tracking system,design research,design review,design thinking,figma design software,ideation,information architecture,interviewing skill,presentation,responsive web design,storyboarding,uiux research,usability,usability testing,user research,user story,ux design,web design,wireframing",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
2,Foundations of User Experience (UX) Design,Google,"cross platform development,design thinking,prototyping,sprint planning,usability,user centered design,user research,ux design,web content accessibility guideline,wireframing",0,0,Beginner ? Course ? 1 - 4 Weeks
3,Microsoft UX Design,Microsoft,"artificial intelligence,design,design research,design thinking,figma design software,human centered design,information architecture,interaction design,persona user experience,prototyping,storyboarding,usability,usability testing,user centered design,user interface user experience uiux design,user research,ux design,web content accessibility guideline,wireframing",0,0,Beginner ? Professional Certificate ? 3 - 6 Months
4,Introduction to User Experience Design ,Georgia Institute of Technology,"interaction design,prototyping,requirement analysis,uiux research,usability,usability testing,user centered design,user interface ui design,user research,ux design",0,0,Beginner ? Course ? 1 - 3 Months
5,UI / UX Design,California Institute of the Arts,"adobe xd,design element principle,graphic visual design,html cs,information architecture,interaction design,mockups,persona user experience,prototyping,responsive web design,uiux strategy,user centered design,user flow,user interface ui design,user interface user experience uiux design,user research,ux design,web design,web language,wireframing",0,0,Beginner ? Specialization ? 3 - 6 Months
6,Principles of UX/UI Design,Meta,"design element principle,design research,figma design software,frontend web development,interaction design,persona user experience,prototyping,uiux research,usability testing,user centered design,user interface ui,user interface ui design,user interface user experience uiux design,ux design,web design,wireframing",0,0,Beginner ? Course ? 1 - 3 Months
7,User Experience Research and Design,University of Michigan,"ab testing,conceptual design,design research,ideation,interaction design,prototyping,qualitative research,sampling statistic,survey,survey creation,uiux research,usability testing,user centered design,user interface ui,user research,user story,ux design,web analytics,wireframing",0,0,Beginner ? Specialization ? 3 - 6 Months
8,Conduct UX Research and Test Early Concepts,Google,"design research,information privacy,interviewing skill,presentation,prototyping,research design,research methodology,uiux research,usability,usability testing,user centered design,user research,ux design",0,0,Beginner ? Course ? 1 - 4 Weeks
9,Create High-Fidelity Designs and Prototypes in Figma,Google,"color theory,design element principle,design review,figma design software,interaction design,mockups,prototyping,typography,usability testing,user centered design,user interface ui design,user research,ux design",0,0,Beginner ? Course ? 1 - 3 Months
10,Build Dynamic User Interfaces (UI) for Websites,Google,"design review,figma design software,information architecture,mockups,prototyping,responsive web design,usability testing,user centered design,user interface ui design,user research,ux design,web design,wireframing",0,0,Beginner ? Course ? 1 - 4 Weeks
11,"Figma, Sketch & Miro for UX Design",Coursera,"animation,collaborative software,design,design software,design specification,human centered design,ideation,prototyping,ui component,user flow,user interface ui design,user interface user experience uiux design,user research,wireframing",0,0,Intermediate ? Professional Certificate ? 3 - 6 Months
12,Fundamentals of UI/UX Design,Microsoft,"design thinking,human centered design,information architecture,prototyping,user interface user experience uiux design,user research,ux design,wireframing",0,0,Mixed ? Course ? 1 - 4 Weeks
13,"Start the UX Design Process: Empathize, Define, and Ideate",Google,"competitive analysis,design thinking,human centered design,ideation,persona development,usability,user flow,user research,user story,ux design,web content accessibility guideline",0,0,Beginner ? Course ? 1 - 4 Weeks
14,Designing User Interfaces and Experiences (UI/UX),IBM,"design element principle,figma design software,frontend web development,mobile development,prototyping,responsive web design,typography,user centered design,user interface user experience uiux design,web application,web design,wireframing",0,0,Beginner ? Course ? 1 - 4 Weeks
15,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,"creativity,design,design thinking,human centered design,ideation,innovation,product development,prototyping,service design,user feedback,ux design",0,0,Beginner ? Course ? 1 - 3 Months
