id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
1,RPA Power Automation,https://www.naukri.com/job-listings-rpa-power-automation-capgemini-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-4-to-9-years-300124008412,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,4-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)","Role & responsibilities . * Work experience in Microsoft Power Platform development, mo...",Power Bi,Power Automate,Power Platform,power virtual agent,Powerapps,dataverse,Automation,Bi,1 Day Ago
2,Urgent hiring For .Net FS Developer,https://www.naukri.com/job-listings-urgent-hiring-for-net-fs-developer-citiustech-healthcare-technology-pvt-ltd-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-5-to-8-years-300124004607,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-8 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)","Provide application support by analyzing defects, replicating / fixing defects and prov...",angular,.Net Core,.net,azure,design pattern,Microsoft Azure,Development,Hiring,1 Day Ago
3,Technical Lead -  PeopleSoft,https://www.naukri.com/job-listings-technical-lead-peoplesoft-citiustech-pune-maharashtra-bengaluru-mumbai-all-areas-8-to-11-years-290124004588,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,8-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bengaluru, Mumbai (All Areas)","Key Skill /Skill Specialization: Peoplesoft CRM, PeopleTools, Peoplesoft Application D...",PeopleSoft Crm,PeopleSoft Technical,PeopleSoft,CRM,Peoplesoft Application Designer,Peoplecode,Peopletools,PeopleSoft Application,1 Day Ago
4,Core Banking Java Microservices Developer,https://www.naukri.com/job-listings-core-banking-java-microservices-developer-oracle-pune-maharashtra-bengaluru-mumbai-all-areas-5-to-10-years-290124003246,https://img.naukimg.com/logo_images/groups/v1/18850.gif,Oracle,https://www.naukri.com/oracle-jobs-careers-6101,https://www.ambitionbox.com/reviews/oracle-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.9,4300  Reviews,5-10 Yrs,Not disclosed,"Pune, Maharashtra, Bengaluru, Mumbai (All Areas)",Role & responsibilities  Development or Implementation or Managed Service activity stre...,Core Banking,Core Java Programming,Microservices,Development,Program,Java,Programming,Core,1 Day Ago
5,PostgreSQL,https://www.naukri.com/job-listings-postgresql-tata-consultancy-services-tcs-pune-bengaluru-mumbai-all-areas-6-to-8-years-290124000723,https://www.naukri.com/hotjobs/images/v3/tcsl_nov13.gif,Tata Consultancy Services (TCS),https://www.naukri.com/tata-consultancy-services-tcs-jobs-careers-13542,https://www.ambitionbox.com/reviews/tcs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,72424  Reviews,6-8 Yrs,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)",Must-Have** . (Ideally should not be more than 3-5) Experience Range# 6 - 8 yrs . Inter...,Postgres Database,Postgresql,Postgresql Database Administration,Postgresql Administration,Database Migration,Unix,Linux,Shell Scripting,2 Days Ago
6,Web Methods Technical Architect,https://www.naukri.com/job-listings-web-methods-technical-architect-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-12-to-15-years-290124501546,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,12-15 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Experience with integration of security services (IDM) including authentication, author...",Unix,JMS,SAN,Automation,Linux,Weblogic,JDBC,Windows,1 Day Ago
7,Software Engineer,https://www.naukri.com/job-listings-software-engineer-pearson-india-education-services-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-250124501234,https://img.naukimg.com/logo_images/groups/v1/4618611.gif,Pearson,https://www.naukri.com/pearson-jobs-careers-104678,https://www.ambitionbox.com/reviews/pearson-education-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,372  Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Hand-on experience on Terraform . Hands-on experience is developing and maintaining C...,Automation,Linux,Postgresql,Javascript,Agile,Unit testing,Troubleshooting,Information technology,5 Days Ago
8,Cloud Specialist,https://www.naukri.com/job-listings-cloud-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-10-years-250124500812,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Manage OpenShift Management Components and Tenants . Good to have: Knowledge on other c...,Simulation,Linux,Consulting,System integration,Product design,Business strategy,Resource management,WiFi,5 Days Ago
9,Technical Specialist,https://www.naukri.com/job-listings-technical-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-10-years-240124500847,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,3-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Nokia Solutions and Networks India (P)Ltd is looking for Technical Specialist to join...,Technical training,Interpersonal skills,Hardware,Technical Staff,Research,Management,Troubleshooting,Technical support,6 Days Ago
10,Technical Specialist I - DICOM,https://www.naukri.com/job-listings-technical-specialist-i-dicom-citiustech-noida-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-250124500577,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,8-12 Yrs,Not disclosed,"Noida, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","Hands-on experience with software development, 3rd party tool analysis, provisioning, a...",Front end,Dicom,SOA,Coding,Powershell,Agile,Healthcare,Customer support,5 Days Ago
